#game display name, 				#role, 		  		#category, 	#emoji-name,			#unicode
Overwatch, 							overwatch, 			-,			-overwatch,				-
Dead by Daylight, 					dbd, 				Horreur,	knife,					U+1F52A
Scribble.io, 						scribble, 			Web,		pencil2,				U+270F
Gartic Phone, 						gartic, 			Web,		telephone,				U+260E
Pop Sause, 							pop_sauce, 			Web,		hotdog,					U+1F32D
Master of the Grid, 				motg, 				Web,		microphone2,			U+1F399
Agrou, 								agrou, 				Mini-jeux,	wolf,					U+1F43A
Among Us, 							amongus, 			Mini-jeux,	-amongus,				-
ECO, 								eco, 				Chill,		earth_africa,			U+1F30D
The Forest, 						forest, 			Horreur,	camping,				U+1F3D5
The Game of Life 2, 				destin, 			Mini-jeux,	game_die,				U+1F3B2
Gang Beasts, 						beasts, 			Mini-jeux,	boxing_glove,			U+1F94A
Golf With Your Friends, 			golf_party, 		Mini-jeux,	golf,					U+26F3
Human Fall Flat,					humanff, 			Mini-jeux,	elevator,				U+1F6D7
Keep Talking and Nobody Explodes, 	keeptalk, 			VR,			-keeptalk,				-
Monster Hunter World,				monster_hunter_w, 	-,			archery,				U+1F3F9
Mount Your Friends,					mountfriends, 		Mini-jeux,	briefs,					U+1FA72
Overkooked 2,						overkooked, 		Mini-jeux,	hamburger,				U+1F354
Payday 2,							payday, 			-,			gem,					U+1F48E
Phasmophobia,						phasmo, 			Horreur,	ghost,					U+1F47B
Raft,								raft, 				-,			shark,					U+1F988
Risk Global Domination,				risk, 				Mini-jeux,	triangular_flag_on_post,U+1F6A9
Sid Meier's Civilisation V, 		civ, 				Chill,		flag_in,				U+1F1EE
Tabletop Simulator,					tabletop, 			Mini-jeux,	black_joker,			U+1F0CF
UNO,								uno, 				Mini-jeux,	-uno,					-
Valheim,							valheim, 			-,			axe,					U+1FA93
Guild Wars 2,						gw, 				MMO,		dragon,					U+1F409
New World,							new_world, 			MMO,		compass,				U+1F9ED
The Elder Scrolls Online, 			teso, 				MMO,		scroll,					U+1F4DC
Bomb Party, 						bomb_party, 		Web,		firecracker,			U+1F9E8
Stardew Valley,						stardew, 			Chill,		chicken,				U+1F414
Sea of Thieves,						sea_ot, 			Chill,		skull_crossbones,		U+2620
Satisfactory,						satisfactory, 		Chill,		safety_vest,			U+1F9BA
World War Z,						wwz, 				Horreur,	biohazard,				U+2623
For the King,						ftk, 				Chill,		crown,					U+1F451
Star Citizen,						sc, 				-,			rocket,					U+1F680
Beat Saber,							bsaber, 			VR,			-bsaber,				-
Ragnarock,							ragnarock, 			VR,			metal,					U+1F918
Arizona Sunshine,					arizona, 			VR,			brain,					U+1F9E0
Minecraft,							minecraft, 			-,			-minecraft,				-
Buisness Tour,						buisness_tour, 		Mini-jeux,	dollar,					U+1F4B5
Deep Rock Galactic,					deep_rock,			-,			pick,					U+FE0F
